,doc,date,co
64,"According to one embodiment, a machine translation apparatus includes a speech recognition unit that receives a speech input of a source language, recognizes the speech input of the source language, and generates a text of the source language, the speech input of the source language being sequentially-input, the text of the source language being the results of a speech recognition and an analysis information; a dividing unit that that decides a dividing position of units to be processed and information of order to be translated, based on the analysis information, the units to be processed being semantic units, each of the semantic units representing a partial meaning of the text of the source language; a machine translation unit that sequentially translates the units to be processed into a target language; a translation control unit that arranges the translated units based on the information of order to be translated and generates a text of the target language; and an output unit that outputs the text of the target language.",20150914,TOSHIBA
65,"Methods and systems are provided for discriminating ambiguous expressions to enhance user experience. For example, a natural language expression may be received by a speech recognition component. The natural language expression may include at least one of words, terms, and phrases of text. A dialog hypothesis set from the natural language expression may be created by using contextual information. In some cases, the dialog hypothesis set has at least two dialog hypotheses. A plurality of dialog responses may be generated for the dialog hypothesis set. The dialog hypothesis set may be ranked based on an analysis of the plurality of the dialog responses. An action may be performed based on ranking the dialog hypothesis set.",20141230,Microsoft
66,"Systems for associating audio files with cells of a spreadsheet are provided. Both audio files and data may be associated with a single cell of the spreadsheet. An audio file may be recorded, retrieved from storage, or converted from a document (e.g., using text-to-speech technology) for association with a spreadsheet. Upon association, audio parameters may be viewed and/or manipulated by a user, providing audio processing functionality within a spreadsheet. Controls may be provided for listening to the audio file and/or playing the audio file in response to spreadsheet data satisfying a condition. Text transcriptions (e.g., speech-to-text) of audio files may be inserted into the spreadsheet. For low vision users, audio transcriptions (e.g., text-to-speech) of data may be generated and “played” for the user. Spreadsheet operations (e.g., sort and/or filter operations) may also be performed on a range of cells based on audio parameters of associated audio files.",20160630,Microsoft
67,"A system can be configured to perform tasks such as converting recorded speech to a sequence of phonemes that represent the speech, converting an input sequence of graphemes into a target sequence of phonemes, translating an input sequence of words in one language into a corresponding sequence of words in another language, or predicting a target sequence of words that follow an input sequence of words in a language (e.g., a language model). In a speech recognizer, the RNN system may be used to convert speech to a target sequence of phonemes in real-time so that a transcription of the speech can be generated and presented to a user, even before the user has completed uttering the entire speech input.",20161111,Google
68,"The subject matter of this specification can be implemented in, among other things, a computer-implemented method for correcting words in transcribed text including receiving speech audio data from a microphone. The method further includes sending the speech audio data to a transcription system. The method further includes receiving a word lattice transcribed from the speech audio data by the transcription system. The method further includes presenting one or more transcribed words from the word lattice. The method further includes receiving a user selection of at least one of the presented transcribed words. The method further includes presenting one or more alternate words from the word lattice for the selected transcribed word. The method further includes receiving a user selection of at least one of the alternate words. The method further includes replacing the selected transcribed word in the presented transcribed words with the selected alternate word.",20170530,Google
69,A speech recognition apparatus includes a probability calculator configured to calculate phoneme probabilities of an audio signal using an acoustic model; a candidate set extractor configured to extract a candidate set from a recognition target list; and a result returner configured to return a recognition result of the audio signal based on the calculated phoneme probabilities and the extracted candidate set.,20160427,SAMSUNG
70,"According to one embodiment, a speech translation apparatus includes a speech recognition unit, a machine translation unit, an extracting unit, and a receiving unit. The extracting unit extracts words used for a meeting from a word set, based on information related to the meeting, and sends the extracted words to the speech recognition unit and the machine translation unit. The receiving unit receives the speech in a first language in the meeting. The speech recognition unit recognizes the speech in the first language as a text in the first language. The machine translation unit translates the text in the first language into a text in a second language.",20160912,TOSHIBA
71,"An apparatus for notification of speech of interest to a user includes a voice analyzer configured to recognize speech, evaluate a relevance between a result of the speech recognition and a determined user's topic of interest, and determine whether to provide a notification; and an outputter configured to, in response to the voice analyzer determining to provide the notification, generate and output a notification message.",20160714,SAMSUNG
72,"Locations and presentation orders of objects of interest (e.g., speech bubbles) in digital graphic novel content are identified such that expanded versions of the objects of interest can be presented to a reader. Specifically, digital graphic novel content is received and locations of interest regions (e.g., rectangular text regions of speech bubbles) in the content are identified by applying a machine-learned model to the content. Locations and presentation orders of objects of interest in the digital graphic novel content are identified based on the identified locations of the interest regions. The digital graphic novel content and presentation metadata including the locations and presentation orders of the objects of interest are provided to a reading device such that expanded versions of the objects of interest are presented to the user in accordance with the presentation metadata.",20160617,Google
73,"Systems for performing operations on dynamic data associated with cells of a spreadsheet are provided. Both dynamic data and static data may be associated with a single cell of the spreadsheet. Upon association, parameters (including stream attributes, video attributes, image attributes and audio attributes) may be manipulated by a user, providing dynamic data processing functionality within a spreadsheet. Controls may be provided for playing the dynamic data and/or playing the dynamic data in response to spreadsheet data satisfying a condition. Operations for inserting text transcriptions (e.g., speech-to-text) of an audio track associated with dynamic data as subtitles may further be provided. Spreadsheet operations (e.g., sort and/or filter operations) may also be performed on a range of cells based on parameters of associated dynamic data.",20160930,Microsoft
74,"Contextual note taking is described. A note taking assistant can receive an indication of a specific presentation session. This indication can be used by the note taking assistant to access information or content related to the session. The note taking assistant can receive specific presentation session content, which includes identifiable context images. Identifiable context images are meant to define an individual page, an individual slide, or other atomic unit in the presentation. The note taking assistant operates by receiving a navigation message, changing the current assistant context image to a current presenter context image based on the navigation message; receiving a speech-to-text message comprising a unit of text; displaying the current presenter context image, and displaying the unit of text associated with the current presenter context image; and storing the unit of text associated with the current presenter context image.",20160307,Microsoft
75,"The subject matter of this specification can be implemented in, among other things, a computer-implemented method for correcting words in transcribed text including receiving speech audio data from a microphone. The method further includes sending the speech audio data to a transcription system. The method further includes receiving a word lattice transcribed from the speech audio data by the transcription system. The method further includes presenting one or more transcribed words from the word lattice. The method further includes receiving a user selection of at least one of the presented transcribed words. The method further includes presenting one or more alternate words from the word lattice for the selected transcribed word. The method further includes receiving a user selection of at least one of the alternate words. The method further includes replacing the selected transcribed word in the presented transcribed words with the selected alternate word.",20161114,Google
76,"A method, executed by a computer, for displaying dynamic content in a group communication environment includes determining a topic of a communication session having multiple participants, searching repositories for content corresponding to the topic, determining the participants' identities, retrieving the content, and enabling the participants to view the content. In some embodiments, the content is an image containing a face of a participant, and a speech indicator is displayed at the face of each participant as they comment in the communication session. In some embodiments, the relationship between the topic and the content is predefined. The topic of the communication session may be determined using natural language processing techniques. A computer program product and computer system corresponding to the above method are also disclosed herein.",20150729,IBM
77,"Systems for associating audio files with cells of a spreadsheet are provided. Both audio files and data may be associated with a single cell of the spreadsheet. An audio file may be recorded, retrieved from storage, or converted from a document (e.g., using text-to-speech technology) for association with a spreadsheet. Upon association, audio parameters may be viewed and/or manipulated by a user, providing audio processing functionality within a spreadsheet. Controls may be provided for listening to the audio file and/or playing the audio file in response to spreadsheet data satisfying a condition. Text transcriptions (e.g., speech-to-text) of audio files may be inserted into the spreadsheet. For low vision users, audio transcriptions (e.g., text-to-speech) of data may be generated and “played” for the user. Spreadsheet operations (e.g., sort and/or filter operations) may also be performed on a range of cells based on audio parameters of associated audio files.",20160630,Microsoft
78,"Speech generating devices, communication systems, and methods for communicating using the devices and systems are disclosed herein. In certain examples, a communication system is configured to receive a generated communication, establish a connection between a speech generating device and a computing device subsequent to receipt of the generated communication, and transmit the generated communication to the computing device. In other examples, a computing device is configured to establish a connection with a speech generating device, and receive a transmission generated by the speech generating device following the connection, the transmission including previously generated communications or real-time communication segments or proxies. In other examples, a speech generating device is configured to establish a connection with one or more computing devices, receive one or more suggestions from at least one computing device during generation of the communication, and display a suggestion on the display device as a shortcut input key.",20151009,Microsoft
79,"Systems, methods, and apparatus for accessing distributed models in automated machine processing, including using large language models in machine translation, speech recognition and other applications.",20170406,Google
80,"According to one embodiment, an interaction apparatus includes an acquirer, an estimator, an extractor, a selector and a controller. The acquirer acquires a text describing an intention of a user. The estimator estimates the intention from the text. The extractor extracts a keyword from the text. The selector selects a word having a part of speech from the text if the keyword having an attribute does not exist in the text when the keyword is to be assigned to a slot, the slot including information relating to the attribute and part of speech of a word necessary to execute a service corresponding to the intention. The controller assigns the selected word to the slot.",20161221,TOSHIBA
81,"A user activity pattern may be ascertained using signal data from a set of computing devices. The activity pattern may be used to infer user intent with regards to a user interaction with a computing device or to predict a likely future action by the user. In one implementation, a set of computing devices is monitored to detect user activities using sensors associated with the computing devices. Activity features associated with the detected user activities are determined and used to identify an activity pattern based on a plurality of user activities having similar features. Examples of user activity patterns may include patterns based on time, location, content, or other context. The inferred user intent or predicted future actions may be used to facilitate understanding user speech or determining a semantic understanding of the user.",20160331,Microsoft
82,"In some implementations, a language proficiency of a user of a client device is determined by one or more computers. The one or more computers then determines a text segment for output by a text-to-speech module based on the determined language proficiency of the user. After determining the text segment for output, the one or more computers generates audio data including a synthesized utterance of the text segment. The audio data including the synthesized utterance of the text segment is then provided to the client device for output.",20170719,Google
83,Embodiments relate to facilitating a meeting. A method for facilitating a meeting of a group of participants is provided. The method generates a graph of words from speeches of the participants as the words are received from the participants. The method partitions the group of participants into a plurality of subgroups of participants. The method performs a graphical text analysis on the graph to identify a cognitive state for each participant and a cognitive state for each subgroup of participants. The method informs at least one of the participants about the identified cognitive state of a participant or a subgroup of participants.,20161219,IBM
84,"Techniques, systems, and devices for managing streaming media among end user devices in a video conferencing system are described. For example, a transcript may be automatically generated for a video conference. In one example, a method may include receiving a combined media stream comprising a plurality of media sub-streams each associated with one of a plurality of end user devices, wherein each of the plurality of media sub-streams comprises a respective video component and a respective audio component. The method may also include, for each of the media-sub-streams, separating the audio component from the respective video component, for each audio component of the respective media sub-streams, transcribing speech from the audio component to text for the respective media sub-stream, and combining the text for each of the respective media sub-streams into a combined transcription. In some examples, the combined transcription may also be translated into a user selected language.",20160912,Google
85,"A portion of speech is captured when spoken by a near-end user. A near-end user terminal conducts a communication session, over a network, between the near-end user and one or more far-end users, the session including a message sent to the one or more far-end users. A vetting mechanism is provided via a touchscreen user interface of the near-end user terminal, to allow the near-end user to vet an estimated transcription of the portion of speech prior to being sent to the one or more far-end users in the message. According to the vetting mechanism: (i) a first gesture performed by the near-end user through the touchscreen user interface accepts the estimated transcription to be included in a predetermined role in the sent message, whilst (ii) one or more second gestures performed by the near-end user through the touchscreen user interface each reject the estimated transcription to be sent in the message.",20150918,Microsoft
86,"In some implementations, a language proficiency of a user of a client device is determined by one or more computers. The one or more computers then determines a text segment for output by a text-to-speech module based on the determined language proficiency of the user. After determining the text segment for output, the one or more computers generates audio data including a synthesized utterance of the text segment. The audio data including the synthesized utterance of the text segment is then provided to the client device for output.",20170403,Google
87,"Methods and systems for language processing includes training one or more automatic speech recognition models using an automatic speech recognition dictionary. A set of N automatic speech recognition hypotheses for an input is determined, based on the one or more automatic speech recognition models, using a processor. A best hypothesis is selected using a discriminative language model and a list of relevant words. Natural language processing is performed on the best hypothesis.",20151214,IBM
88,"Responsive to determining to transition a voice call from voice communications over a voice network to streamed text over a packetized data network, a voice conversation correlation identifier is created that identifies the voice call and specifies incoming and outgoing streamed text data as part of the voice call. Additional outgoing speech spoken by a user associated with the voice call is converted to streamed text data. The streamed text data identified by the voice conversation correlation identifier is sent within an outgoing text stream over the packetized data network. Streamed response text data identified by the voice conversation correlation identifier is received within an incoming text stream over the packetized data network. The received streamed response text data within the incoming text stream is converted to speech output as part of the voice call.",20150916,IBM
89,"The personal translator implementations described herein provide a speech translation device that pairs with a computing device to translate in-person conversations. The speech translation device can be wearable. In one implementation the personal translator comprises a speech translation device with at least one microphone that captures input signals representing nearby speech of a first user/wearer of the device and at least one other nearby person in a conversation in two languages; a wireless communication unit that sends the captured input signals representing speech to a nearby computing device, and receives for each language in the conversation, language translations from the computing device; and at least one loudspeaker that outputs the language translations to the first user/wearer and at least one other nearby person. The language translations in text form can be displayed on a display at the same time the language translations are output to the loudspeaker(s).",20150824,Microsoft
90,"Embodiments provide a system and method for short form and long form detection. Using a language-independent process, the detection system can ingest a corpus of documents, pre-process those documents by tokenizing the documents and performing a part-of-speech analysis, and can filter one or more candidate short forms using one or more filters that select for semantic criteria. Semantic criteria can include the part of speech of a token, whether the token contains more than a pre-determined amount of symbols or digits, whether the token appears too frequently in the corpus of documents, and whether the token has at least one uppercase letter. The detection system can detect short forms independent of case and punctuation, and independent of language-specific metaphone variants.",20160628,IBM
91,"The disclosed subject matter provides a system, computer readable storage medium, and a method providing an audio and textual transcript of a communication. A conferencing services may receive audio or audio visual signals from a plurality of different devices that receive voice communications from participants in a communication, such as a chat or teleconference. The audio signals representing voice (speech) communications input into respective different devices by the participants. A translation services server may receive over a separate communication channel the audio signals for translation into a second language. As managed by the translation services server, the audio signals may be converted into textual data. The textual data may be translated into text of different languages based the language preferences of the end user devices in the teleconference. The translated text may be further translated into audio signals.",20170731,Google
92,"According to one embodiment, a machine translation apparatus includes a memory and a hardware processor in electrical communication with the memory. The memory stores instructions. The processor execute the instructions to translate a text in a first language to a plurality of translation results in a second language, output at least one of the plurality of translation results to a screen, and synthesize a speech from at least another one of the plurality of translation results.",20160906,TOSHIBA
93,"In an embodiment a device to convert conversations from a meeting to text and annotate the text is disclosed. In an embodiment a device is disclosed, comprising: a microphone; a camera; a processor; and a storage comprising a set of instructions; wherein the set of instructions causes a processor to: receive from the microphone, an audio recording containing speech of a participant of a meeting; receive from the camera, a video of the participant; identify the participant; convert the speech of the participant to a digital text; develop a skeletal map of the participant; recognize a gesture of the participant from the skeletal maps; detect and identify a target of the gesture; based on the target and the gesture determine an annotation for the digital text corresponding to a point of time of the gesture.",20150826,Microsoft
94,"A speech recognition apparatus includes a predictor configured to predict a word class of a word following a word sequence that has been previously searched for based on the word sequence that has been previously searched for; and a decoder configured to search for a candidate word corresponding to a speech signal, extend the word sequence that has been previously searched for using the candidate word that has been searched for, and adjust a probability value of the extended word sequence based on the predicted word class.",20161021,SAMSUNG
95,"An approach for augmenting a teleconference based on cognitive computing. A teleconference transcript is created based on speech-to-text conversion. A portion of the teleconference transcript is replaced based on a substitute word store and on cognitive computing text substitution. A second teleconference transcript and text-to-speech conversion creates augmented real-time audio. Participant audio and augmented audios are combined to create and output augmented audio to teleconference participants. Audio augmentation includes noise reduction, volume normalization, content change and natural language translation.",20150914,IBM
96,"Systems for associating audio files with cells of a spreadsheet are provided. Both audio files and data may be associated with a single cell of the spreadsheet. An audio file may be recorded, retrieved from storage, or converted from a document (e.g., using text-to-speech technology) for association with a spreadsheet. Upon association, audio parameters may be viewed and/or manipulated by a user, providing audio processing functionality within a spreadsheet. Controls may be provided for listening to the audio file and/or playing the audio file in response to spreadsheet data satisfying a condition. Text transcriptions (e.g., speech-to-text) of audio files may be inserted into the spreadsheet. For low vision users, audio transcriptions (e.g., text-to-speech) of data may be generated and “played” for the user. Spreadsheet operations (e.g., sort and/or filter operations) may also be performed on a range of cells based on audio parameters of associated audio files.",20160630,Microsoft
97,A language translation application on a user device includes a user interface that provides relevant textual and graphical feedback mechanisms associated with various states of voice input and translated speech.,20170316,Google
98,A method and apparatus is provided for annotating video content with metadata generated using speech recognition technology. The method begins by rendering video content on a display device. A segment of speech is received from a user such that the speech segment annotates a portion of the video content currently being rendered. The speech segment is converted to a text-segment and the text-segment is associated with the rendered portion of the video content. The text segment is stored in a selectively retrievable manner so that it is associated with the rendered portion of the video content.,20170328,Google
99,"Systems for associating videos with cells of a spreadsheet are provided. Both dynamic data and static data may be associated with a single cell of the spreadsheet. Upon association, parameters (including video attributes, image attributes and audio attributes) may be viewed and/or manipulated by a user, providing video and audio processing functionality within a spreadsheet. Controls may be provided for playing the video and/or playing the video in response to spreadsheet data satisfying a condition. Text transcriptions (e.g., speech-to-text) of an audio track associated with a video file may be inserted as subtitles into the video or a plurality of individual frames for the video. Spreadsheet operations (e.g., sort and/or filter operations) may also be performed on a range of cells based on parameters of an associated video.",20160930,Microsoft
100,"According to an embodiment, a conference support apparatus includes a recognizer, a detector, a summarizer, and a subtitle generator. The recognizer is configured to recognize speech in speech data and generate text data. The detector is configured to detect a correction operation on the text data, the correction operation being an operation of correcting character data that has been incorrectly converted. The summarizer is configured to generate a summary relating to the text data subsequent to a part to which the correction operation is being performed, among the text data, when the correction operation is being detected. The subtitle generator is configured to generate subtitle information corresponding to the summary when the correction operation is being detected, and configured to generate subtitle information corresponding to the text data except when the correction operation is being detected.",20161221,TOSHIBA
101,"An electronic device is provided. The electronic device includes at least one communication circuit, a display, a speaker, a memory, and a processor electrically connected to the communication circuit, the display, the memory and the speaker. The processor is configured to receive a message that includes one or more items of a link or content through the at least one communication circuit, parse the message in order to recognize the one or more items, extract or receive content from the one or more items or from an external resource related to the one or more items, convert the message into at least one of a speech, a sound, an image, a video, and data according to at least one of the parsed message and the extracted or received content, and provide at least one of the speech, the sound, the image, the video, and the data to the speaker or the at least one communication circuit.",20170221,SAMSUNG
102,"A technique for generating a new equivalent phrase for an input phrase includes receiving a first input phrase for natural language expansion. Tokens that correspond to parts of speech are generated for the first input phrase. An original grammar tree is generated using at least some of the tokens. One or more alternate grammar trees are generated that are different from the original grammar tree but substantially equivalent to the original grammar tree. One or more synonyms for at least one of the tokens are generated. Finally, one or more new phrases are generated based on the one or more alternate grammar trees and the one or more synonyms.",20150925,IBM
103,"In some implementations, a language proficiency of a user of a client device is determined by one or more computers. The one or more computers then determines a text segment for output by a text-to-speech module based on the determined language proficiency of the user. After determining the text segment for output, the one or more computers generates audio data including a synthesized utterance of the text segment. The audio data including the synthesized utterance of the text segment is then provided to the client device for output.",20160128,Google
104,"A content server accessing an audio stream, and inputs portions of the audio stream into one or more non-speech classifiers for classification, the non-speech classifiers generating, for portions of the audio stream, a set of raw scores representing likelihoods that the respective portion of the audio stream includes an occurrence of a particular class of non-speech sounds associated with each of the non-speech classifiers. The content server generates binary scores for the sets of raw scores, the binary scores generated based on a smoothing of a respective set of raw scores. The content server applies a set of non-speech captions to portions of the audio stream in time, each of the sets of non-speech captions based on a different one of the set binary scores of the corresponding portion of the audio stream.",20160823,Google
105,"Techniques (300, 400, 500) and apparatuses (100, 200, 700) for recognizing accented speech are described. In some embodiments, an accent module recognizes accented speech using an accent library based on device data, uses different speech recognition correction levels based on an application field into which recognized words are set to be provided, or updates an accent library based on corrections made to incorrectly recognized speech.",20170321,Google
106,"According to one embodiment, a classification apparatus includes the following elements. The target log extraction unit extracts a set of dialogue logs for a dialogue from dialogue logs for dialogues between a user and an interactive system, the dialogue including a first speech and a second speech of the user, the set of dialogue logs including information indicative of a classification used for a search performed by the interactive system based on the first speech, information indicative of a failure in the first search, and data acquired as a result of a search performed by the interactive system based on the second speech. The classification relation generator generates a classification relation in which the classification is associated with the data.",20170215,TOSHIBA
107,"A computer system provides an automated tool that processes audio data and data about computer operating context to automatically capture information, such as information from conversations and meetings. The computer operating context can include, for example, environmental data sensed, or other contextual information maintained or tracked, by the computer. The audio data and computer operating context are processed by the computer to detect starting conditions for data extraction. After detecting a starting condition, the processor initiates speech processing on the audio information to generate corresponding text data. The processor processes the text data using text filters that define salient patterns in the text data. Such salient patterns can correspond to, for example, tasks to be performed, follow-up appointments and other events, messages to be sent, important points or notes, and the like. Such automatic processing improves user productivity in tracking valuable information from meetings and other conversations.",20170531,Microsoft
108,"An apparatus for correcting a character string in a text of an embodiment includes a first converter, a first output unit, a second converter, an estimation unit, and a second output unit. The first converter recognizes a first speech of a first speaker, and converts the first speech to a first text. The first output unit outputs a first caption image indicating the first text. The second converter recognizes a second speech of a second speaker for correcting a character string to be corrected in the first text, and converts the second speech to a second text. The estimation unit estimates the character string to be corrected, based on text matching between the first text and the second text. The second output unit outputs a second caption image indicating that the character string to be corrected is to be replaced with the second text.",20161221,TOSHIBA
109,"Techniques and systems to provide speech recognition services over a network using a standard interface are described. In an embodiment, a technique includes accepting a speech recognition request that includes at least audio input, via an application program interface (API). The speech recognition request may also include additional parameters. The technique further includes performing speech recognition on the audio according to the request and any specified parameters; and returning a speech recognition result as a hypertext protocol (HTTP) response. Other embodiments are described and claimed.",20161219,Microsoft
110,Techniques and architectures may be used to generate and perform a process using weighted finite-state transducers involving generic input search graphs. The process need not pursue theoretical optimality and instead search graphs may be optimized without an a priori optimization step. The process may result in an automatic speech recognition (ASR) decoder that is substantially faster than ASR decoders the include the optimization step.,20160601,Microsoft
111,"Free-form text in a document can be analyzed using natural-language processing to determine actionable items specified by users in the text or to provide recommendations, e.g., by automatically analyzing texts from multiple users. Words or phrases of the text can be mapped to classes of a model. An actionable item can be determined using the mapped words or phrases that match a selected grammar pattern. Items can be ranked, e.g., based on frequency across multiple documents. In some examples, the classes can include a suggestion-indicator class or a modal-indicator class, and the selected grammar pattern can include one of those classes. In some examples, the mapping can use a dictionary. A new term not in the dictionary can be automatically associated with classes based on attributes of the new term and of terms in the dictionary, e.g., the new term's part of speech or neighboring terms.",20150630,Microsoft
112,"An “Utterance-Based Knowledge Tool” monitors user utterances (e.g., user speech or text inputs) to identify relevant statements of facts in declarative utterances of a user. A semantic parser is applied to each statement of facts to parse assertions comprising instances of two or more entities and relations between those entities. As such, each assertion explicitly delimits a relation between two particular entities (one of which may be the user) that are relevant to the particular user. The Utterance-Based Knowledge Tool places or categorizes the identified assertions (which each include entities and relations) into one or more of a plurality of predefined classes. These classified assertions are then applied to construct and/or update a personal knowledge graph for the user. This personal knowledge graph is then applied to respond to user queries, thereby improving personal relevancy of query responses provided to the user.",20150726,Microsoft
113,"Embodiments provide a system and method for short form and long form detection. Using a language-independent process, the detection system can ingest a corpus of documents, pre-process those documents by tokenizing the documents and performing a part-of-speech analysis, and can filter one or more candidate short forms using one or more filters that select for semantic criteria. Semantic criteria can include the part of speech of a token, whether the token contains more than a pre-determined amount of symbols or digits, whether the token appears too frequently in the corpus of documents, and whether the token has at least one uppercase letter. The detection system can detect short forms independent of case and punctuation, and independent of language-specific metaphone variants.",20180629,IBM
114,"Generation of expressive content is provided. An expressive synthesized speech system provides improved voice authoring user interfaces by which a user is enabled to efficiently author content for generating expressive output. An expressive synthesized speech system provides an expressive keyboard for enabling input of textual content and for selecting expressive operators, such as emoji objects or punctuation objects for applying predetermined prosody attributes or visual effects to the textual content. A voicesetting editor mode enables the user to author and adjust particular prosody attributes associated with the content for composing carefully-crafted synthetic speech. An active listening mode (ALM) is provided, which when selected, a set of ALM effect options are displayed, wherein each option is associated with a particular sound effect and/or visual effect. The user is enabled to rapidly respond with expressive vocal sound effects or visual effects while listening to others speak.",20161109,Microsoft
115,"In an aspect of the present disclosure, a method for providing an alternate modality of input for filling a form field in response to a failure of voice recognition is disclosed including prompting the user for information corresponding to a field of a form, generating speech data by capturing a spoken response of the user to the prompt using at least one input device, attempting to convert the speech data to text, determining that the attempted conversion has failed, evaluating the failure using at least one speech rule, selecting, based on the evaluation, an alternate input modality to be used for receiving the information corresponding to the field of the form, receiving the information corresponding to the field of the form from the alternate input modality, and injecting the received information into the field of the form.",20170201,IBM
116,"To address the issues of handling conversations with multiple users, an intelligent digital assistant system is provided. The system may include at least one microphone configured to receive an audio input, a speaker configured to emit an audio output, and a processor. The processor may be configured engage in a conversation with a first user, and, concurrent with the first user being engaged in the conversation with the system, recognize speech of one or more additional users in the audio input. The processor may process the recognized speech of the one or more additional users to determine a context for each additional user, and execute a conversation disentanglement module to select and perform one or more predetermined conversation disentanglement actions according to the context of the recognized speech of each additional user.",20170630,Microsoft
117,"Methods, computer program products, and systems are presented. The method computer program products, and systems can include, for instance: obtaining speech based message data and biometric data of a speaker user of a messaging system, the speech based message data being input into a computer device by the speaker user and the biometric data indicating one or more aspect of a physical condition of the speaker user during the input of the speech based message data into the computer device; processing data to determine a truthfulness parameter of the speech based message data, the processing data to determine a truthfulness parameter including processing the biometric data, the truthfulness parameter indicating a probability that the speech based message data is knowingly untruthful; and associating the truthfulness parameter to the speech based message data, wherein the associating includes tagging the speech based message data with the truthfulness parameter.",20170404,IBM
118,"A system is provided that employs a statistical approach to semi-supervised speech enhancement with a low-order non-negative matrix factorization (“NMF”). The system enhances noisy speech based on multiple dictionaries with dictionary atoms derived from the same clean speech samples and generates an enhanced speech representation of the noisy speech by combining, for each dictionary, a clean speech representation of the noisy speech generated based on a NMF using the dictionary atoms of the dictionary. The system generates frequency-domain (“FD”) clean speech sample representations of the clean speech samples, for example, using a Fourier transform. To generate each dictionary, the system generates a dictionary-unique initialization of the dictionary atoms and the activations and performs a NMF of the FD clean speech samples.",20170616,Microsoft
119,"Devices, systems, and methods for automatically creating a document. In one example, the system and method perform or include capturing, with a web-extension associated with a word-processing application, implicitly-tagged-content and an explicitly-tagged-content displayed on a web browser along with tags associated with the implicitly-tagged-content and the explicitly-tagged-content; receiving, with a speech-to-text interface, natural-language audio instruction associated with generating a document; generating, with a natural-language processor, a plain-text command associated with the natural-language audio instruction; retrieving personalized-content based on the plain-text command; and organizing, with a content-organizer, the personalized-content based on one or more criteria selected from a group consisting of page rank of a content displayed on the web browser, a source of the content, an authoring-style, and a document template. The document is generated using information received from the content-organizer.",20170327,Microsoft
120,"Techniques and systems to provide speech recognition services over a network using a standard interface are described. In an embodiment, a technique includes accepting a speech recognition request that includes at least audio input, via an application program interface (API). The speech recognition request may also include additional parameters. The technique further includes performing speech recognition on the audio according to the request and any specified parameters; and returning a speech recognition result as a hypertext protocol (HTTP) response. Other embodiments are described and claimed.",20170928,Microsoft
121,"A method of updating a grammar model used during speech recognition includes obtaining a corpus including at least one word, obtaining the at least one word from the corpus, splitting the at least one obtained word into at least one segment, generating a hint for recombining the at least one segment into the at least one word, and updating the grammar model by using at least one segment comprising the hint.",20180312,SAMSUNG
122,"Methods and systems are provided for discriminating ambiguous expressions to enhance user experience. For example, a natural language expression may be received by a speech recognition component. The natural language expression may include at least one of words, terms, and phrases of text. A dialog hypothesis set from the natural language expression may be created by using contextual information. In some cases, the dialog hypothesis set has at least two dialog hypotheses. A plurality of dialog responses may be generated for the dialog hypothesis set. The dialog hypothesis set may be ranked based on an analysis of the plurality of the dialog responses. An action may be performed based on ranking the dialog hypothesis set.",20171204,Microsoft
123,An approach is provided that assists visually impaired users. The approach analyzes a document that is being utilized by the visually impaired user. The analysis derives a sensitivity of the document. A vocal characteristic corresponding to the derived sensitivity is retrieved. Text from the document is audibly read to the visually impaired user with a text to speech process that utilizes the retrieved vocal characteristic. The retrieved vocal characteristic conveys the derived sensitivity of the document to the visually impaired user.,20180616,IBM
124,"Techniques and systems are disclosed for context-dependent speech recognition. The techniques and systems described enable accurate recognition of speech by accessing sub-libraries associated with the context of the speech to be recognized. These techniques translate audible input into audio data at a smart device and determine context for the speech, such as location-based, temporal-based, recipient-based, and application based context. The smart device then accesses a context-dependent library to compare the audio data with phrase-associated translation data in one or more sub-libraries of the context-dependent library to determine a match. In this way, the techniques allow access to a large quantity of phrases while reducing incorrect matching of the audio data to translation data caused by organizing the phrases into context-dependent sub-libraries.",20170410,Microsoft
125,"A method, computer program product, and system includes a processor(s) to obtain, over a communications network, media comprising at least one audio file, The processor(s) determines that the audio file includes human speech and extract the human speech from the audio file. The processor(s) contextualizes general elements of the human speech, based on analyzing metadata of the file. The processor(s) generates an unannotated textual representation of the human speech, where the unannotated textual representation includes spoken words. The processor(s) annotates the unannotated textual representation of the human speech, with indicators, where each indicator identifies a granular contextual element in the unannotated textual representation of the human speech. The processor(s) generates a textual representation of the human speech, by applying a template to the annotated textual representation, where the template defines values for the indicators in the annotated textual representation.",20170206,IBM
126,A language translation application on a user device includes a user interface that provides relevant textual and graphical feedback mechanisms associated with various states of voice input and translated speech.,20180508,Google
127,"A streams controller monitors multiple data streams with speech of a conversation with multiple speakers and uses text analytics and diaritization to identify speakers by their role in the conversation. Diaritization is applied to the audio of a data stream to associate a speaker with an SSRC from the data stream and a speaker identification (ID). The streams controller then runs text analytics on a text version of the speaker's speech to determine a speaker role for the speaker. The speaker role can be used to efficiently monitor conversations in a data stream to provide additional services. For example, speaker role can be used to analyze calls in a call center and provide services such as a transcript of conversations or enhanced customer support.",20170518,IBM
